root_id,cell_type
720575940617994811,L3
720575940643520564,Tm4
720575940627347202,Dm8
720575940629819855,MeTu4
720575940637355839,NA
720575940619836269,C2
720575940604568521,NA
720575940627478147,T4c
720575940631458371,NA
720575940621925108,L3
720575940627535961,L4
720575940627375375,Tm1
720575940620847999,BM_InOm
720575940632606509,Mi1
720575940645229092,MTe02
720575940609522382,CB2664
720575940646583348,Tlp1
720575940624864492,Dm10
720575940620805568,T5b
720575940626089980,KCab
720575940612553189,NA
720575940635154271,TmY18
720575940630428716,L4
720575940610665445,NA
720575940631573037,Tm20
720575940624475786,L5
720575940625969098,C2
720575940626640113,L4
720575940621725679,CB3851
720575940618867627,NA
720575940633938145,TmY18
720575940616912214,Tm2
720575940621183326,BM_InOm
720575940631668511,AVLP234b
720575940625355364,NA
720575940614452886,Dm4
720575940625717944,Tm4
720575940630191447,LC19
720575940622762995,NA
720575940631679530,Mi1
720575940621077942,Tm12
720575940601325484,Mi15
720575940624716779,Tm5c
720575940631239076,NA
720575940617489501,Dm3
720575940637620621,Mi9
720575940623683018,NA
720575940625636903,Mi9
720575940642412789,TmY20
720575940616966557,NA
720575940632118668,Tm9
720575940621648043,MeTu1
720575940647586681,PS188b
720575940620253745,Mi2
720575940625839345,NA
720575940619637185,NA
720575940638482421,NA
720575940637329754,LTe28
720575940628641879,NA
720575940627015503,CB3816
720575940605268140,L3
720575940632881209,NA
720575940631910068,Pm1
720575940615634619,BM_InOm
720575940616291551,R7
720575940639654515,NA
720575940632317482,NA
720575940619074049,s-LNva
720575940618611280,NA
720575940608739630,CB3828
720575940623510221,Tm20
720575940616074719,R1-6
720575940617202363,NA
720575940618512805,T2
720575940612778393,CB3816
720575940616654370,NA
720575940628568987,T2a
720575940611373226,NA
720575940609036245,Dm3
720575940632927405,NA
720575940633770067,Dm13
720575940621192641,R1-6
720575940622504572,Tm12
720575940645022260,LC10c
720575940613619865,R7
720575940634025133,NA
720575940611335266,CB3851
720575940634850495,L1
720575940627166225,CB2091
720575940630156538,Tlp1
720575940613160946,Dm8
720575940627081474,Mi4
720575940639588723,NA
720575940615255993,NA
720575940616308597,KCab
720575940606520962,NA
720575940633953965,Mi1
720575940632881491,L5
720575940617334233,Tm5Y
720575940639426648,T2
720575940614562856,R1-6
720575940627100478,Tm3
720575940612996977,TmY18
720575940627883367,T2
720575940637282167,CB1988
720575940628720079,NA
720575940623346312,Y4
720575940612277454,L1
720575940617269846,Tm20
720575940635064857,Dm2
720575940604110513,NA
720575940625736890,Tm5c
720575940629110607,NA
720575940615443037,NA
720575940619900470,Dm11
720575940616751702,Mi13
