root_id,cell_type,x,y,z
720575940607908226,R1-6,865616,297.12,146.8
720575940627262978,R1-6,886244,322.74,424.8
720575940632408121,R1-6,870352,174.72,275
720575940640344691,R1-6,858128,485.84,350.6
720575940617947353,R1-6,811188,33.8,125.8
720575940615155921,R1-6,818152,108.01,92
720575940644218784,R7,822712,343.6,81
720575940621922124,R1-6,852936,244.66,117.2
720575940629837819,R7,836248,88.48,400.8
720575940609362443,R1-6,813148,117.06,120.8
720575940639764669,R1-6,877970,338.49,297.5
720575940640351859,R1-6,869560,442.36,335.8
720575940614814639,R1-6,828260,344.76,102.4
720575940639847101,R1-6,828132,144.84,72
720575940628823281,R7,848384,197.74,507.8
720575940617365846,R1-6,872360,454.16,246.6
720575940618690644,R1-6,839684,197.51,133.8
720575940632717368,R1-6,823908,258.88,95.2
720575940635589530,R8,827268,300.42,250.2
720575940635609751,R7,832684,351.2,240.2
720575940610215875,R1-6,864204,458.52,174.2
720575940618370449,R7,832736,442.4,262.8
720575940622125428,R1-6,833868,421.66,58
720575940619727006,R1-6,831312,274.54,84.4
720575940628302609,R1-6,861856,285.46,422.8
720575940618105812,R1-6,850406,466.74,149.3
720575940615317671,R1-6,856936,194.2,171.2
720575940633631661,R8,806318,463.49,225.3
720575940644754592,R7,809068,440.68,80.6
720575940629915139,R8,837328,317.66,176.1
720575940640412067,R1-6,801976,64.9,135.6
720575940640214643,R8,828140,511.94,404
720575940619677494,R1-6,866720,425.66,192.4
720575940606524337,R8,858560,370.58,243.6
720575940613182873,R1-6,805556,127.14,49.2
720575940635752383,R1-6,856236,316.82,141.6
720575940627945554,R8,780568,455.24,145.4
720575940635647935,R1-6,872260,378.42,321.8
720575940631315705,R1-6,875436,236.52,409.2
720575940623458124,R1-6,807764,466.58,80
720575940612179042,R8,844584,334.12,297.6
720575940631128694,R7,833676,429.24,291
720575940623808973,R1-6,871708,185,370
720575940609828821,R1-6,866488,296.12,171.2
720575940626508176,R1-6,820968,349.34,28.4
720575940640513395,R1-6,859868,395.04,63
720575940622712414,R1-6,832556,55.96,104.8
720575940620158379,R1-6,821228,30.58,17
720575940638404580,R7,810212,314.1,80.6
720575940623909400,R1-6,876252,305.9,446.6
720575940615028433,R1-6,854908,467.04,198.4
720575940611376174,R1-6,832604,242.88,20.2
720575940643016077,R1-6,855568,236.08,214.2
720575940621269382,R1-6,805772,206.54,72.8
720575940619081285,R1-6,865668,376.78,199.6
720575940614066915,R1-6,837560,325.14,152.8
720575940621730657,R1-6,839773.3333333334,173.14,170.46666666666664
720575940616429890,R8,801028,421.64,80.6
720575940609493515,R1-6,845244,496.7,142
720575940630633207,R1-6,865872,297.8,186.6
720575940621949622,R1-6,887208,242.86,427.6
720575940632129551,R1-6,848400,0.69,251.9
720575940634046419,R8,831984,501.68,384.2
720575940618557953,R1-6,883204,265.04,342
720575940626005581,R1-6,863620,491.98,350.6
720575940624832437,R1-6,800796,379.02,69.6
720575940635338903,R1-6,816576,449.18,69.2
720575940624672329,R1-6,868616,198.16,225.4
720575940621891238,R8,841944,183.4,350.8
720575940629640451,R1-6,813316,222.32,125.8
720575940624115497,R1-6,874416,285.42,435.8
720575940642645979,R1-6,886380,310.88,406.2
720575940638181086,R7,758188,350.82,93.4
720575940614774323,R1-6,820384,53.46,89.2
720575940624106948,R7,838480,286.08,297.8
720575940625166828,R1-6,855472,162.54,208.4
720575940626573002,R1-6,850744,460.54,312.6
720575940617399126,R1-6,863060,447.3,189.2
720575940607996338,R1-6,824520,460.8,88.8
720575940607518409,R1-6,799540,281.96,54.2
720575940616973499,R1-6,850244,459.82,163
720575940637290126,R1-6,840440,363.66,156.8
720575940628543748,R8,835692,90.16,400.8
720575940630738652,R7,827792,79.14,297.8
720575940630289146,R1-6,869048,38,472.2
720575940640063566,R1-6,834150,434.46,56.9
720575940614716141,R1-6,870492,143.06,167.8
720575940641821069,R1-6,870240,205,202
720575940621565166,R1-6,867104,448.66,411.6
720575940610110403,R1-6,841616,400.72,72.8
720575940617435478,R1-6,861324,457.14,241.4
720575940632837004,R1-6,811900,227,87.2
720575940633988179,R7,830748,385.1,381.4
720575940632090699,R1-6,814556,353.88,100.6
720575940619909359,R7,815144,437.82,314.6
720575940613545586,R1-6,867124,138.12,459.2
720575940616764859,R1-6,876672,374.3,271.4
720575940632793903,R1-6,857968,476.46,350.6
720575940627837010,R1-6,867412,291.2,294.6
720575940616831794,R7,836752,94.78,324.4
720575940618529570,R1-6,862336,475.2,167
720575940631853007,R1-6,828166,81.5,76.4
720575940633605459,R1-6,823908,213.6,68.8
720575940612644058,R7,819284,493.78,336.4
720575940627381379,R1-6,810076,226.32,40.4
720575940613335269,R1-6,845776,418.24,130.6
720575940634500578,R1-6,858038.6666666666,109.23333333333329,163
720575940629810791,R1-6,857584,442.76,309.2
720575940633160332,R7,842676,247.15,413.4
720575940629568299,R1-6,874180,365.5,322.8
720575940606770865,R1-6,805128,164.78,102.2
720575940634975644,R1-6,848388,428.6,81.4
720575940614814383,R1-6,835834,321.71,1.2
720575940628688616,R8,843688,472.18,239.2
720575940631324921,R1-6,872732,71.94,437.2
720575940611082564,R1-6,869696,39.46,425
720575940622562654,R1-6,876380,433.34,289.2
720575940623495779,R1-6,882324,344.24,283.6
720575940632125259,R1-6,869384,387.2,264.4
720575940626644068,R7,823832,413.52,350.8
720575940653496822,R8,817048,453.31,256.3
720575940612920433,R8,851604,463.46,80.6
720575940639886013,R1-6,828282,10.58,163.8
720575940624816381,R1-6,855556,25.56,261.4
720575940650464377,R1-6,868428,497.28,350.6
720575940632619832,R1-6,826744,448.92,76.8
720575940640921984,R1-6,875644,349.24,428.2
720575940632628584,R1-6,861288,392.7,222.8
720575940640214325,R8,818888,1.79,284.7
720575940628271121,R1-6,874292,245,327.8
720575940624437130,R8,839548,254.02,81.2
720575940610777668,R1-6,828400,312.34,91.8
720575940621768545,R1-6,859848,338.42,224
720575940625772814,R1-6,858172,386.58,378.6
720575940623312135,R1-6,816436,143.92,55.2
720575940621423041,R8,799220,460.34,188.8
720575940637767792,R1-6,872280,126.24,403.4
720575940632257578,R1-6,858368,486.66,160.6
720575940625272980,R7,839668,66.4,453.8
720575940621375983,R1-6,818124,340.46,18
720575940617978683,R1-6,844648,42.78,219.4
720575940612801498,R1-6,855324,230.52,223
720575940613313765,R1-6,877404,309.04,438.6
720575940653052662,R1-6,868768,424.74,370
720575940618296038,R1-6,839644,225.78,184.6
720575940617300054,R8,838524,181.16,350.8
720575940612205774,R1-6,850516,55.84,80.6
720575940631363031,R1-6,810068,292.98,95.6
720575940631909839,R1-6,858224,395.36,63
720575940626688144,R7,827612,52.96666666666672,80.4
720575940614340242,R1-6,893948,344.16,253.2
720575940630162938,R1-6,830748,112.04,97
720575940615580678,R1-6,831648,39.26,158.6
720575940644784328,R1-6,846496,229.16,111.8
720575940620735960,R1-6,894216,281.41,410.3
720575940634502591,R1-6,836248,95.26,93
720575940650571385,R8,822292,418.18,80.6
720575940625495480,R1-6,869160,213.96,225.8
720575940628866044,R1-6,879420,245.96,435.4
720575940622628120,R1-6,836736,359.92,33.8
720575940615934943,R8,840232,67.4,453.8
720575940621802223,R1-6,828400,382.84,87.8
720575940617624203,R1-6,834132,242.32,20.2
720575940621508262,R7,827748,315.94,81
